Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
5,0,3,32.727272,29.675007,29.675007,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,0.0,29.675007,139.7125,0.0
6,0,3,5.625,29.675007,29.675007,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.675007,329.7125,0.0
7,0,3,25.726986,28.729174,28.729174,40.0,3.4028235E38,3.4028235E38,0.0,0.94583356,0.0,0.0,29.675007,329.7125,0.0
8,0,3,8.012072,28.729174,28.729174,46.352108,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.729174,343.4271,0.0
9,0,3,100.42687,30.420847,30.420847,40.0,3.4028235E38,3.4028235E38,2.65,0.95833355,0.0,0.0,31.37918,485.73633,0.0
10,0,3,9.081125,30.420847,30.420847,43.68148,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.420847,318.89786,0.0
11,0,3,40.36444,32.85418,32.85418,40.0,3.4028235E38,3.4028235E38,3.1875,0.7541669,0.0,0.0,33.608345,430.12427,0.0
12,0,3,9.819294,32.85418,32.85418,43.83387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.85418,283.6145,0.0
13,0,3,92.67033,25.887508,25.887508,40.0,3.4028235E38,3.4028235E38,2.9083333,9.875004,0.0,0.0,35.762512,395.30167,0.0
14,0,3,27.462729,25.88751,25.88751,38.191666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.88751,384.63107,0.0
15,0,3,20.807955,27.695843,27.695843,48.4375,3.4028235E38,3.4028235E38,1.8083333,0.0,0.0,1.9073486E-6,27.695843,358.41025,0.0
16,0,3,34.76116,29.258343,29.258343,50.0,3.4028235E38,3.4028235E38,1.5625,0.0,0.0,0.0,29.258343,525.754,0.0
17,0,3,13.257835,29.258343,29.258343,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,9.536743E-7,29.258343,525.7539,0.0
18,0,3,28.69661,27.683342,27.683342,40.0,3.4028235E38,3.4028235E38,0.0,1.5750005,0.0,0.0,29.258343,525.7539,0.0
19,0,3,30.98041,26.429176,26.429176,40.0,3.4028235E38,3.4028235E38,0.0,1.254167,0.0,0.0,27.683344,358.5915,0.0
20,0,3,27.623665,26.429176,26.429176,37.841667,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,26.429176,376.77692,0.0
21,0,3,30.884247,28.58751,28.58751,40.0,3.4028235E38,3.4028235E38,2.1583333,0.0,0.0,0.0,28.58751,345.4811,0.0
22,0,3,11.649345,28.58751,28.58751,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.58751,345.4811,0.0
23,0,3,29.073654,27.229176,27.229176,40.0,3.4028235E38,3.4028235E38,0.0,1.3583338,0.0,0.0,28.58751,345.4811,0.0
24,0,3,23.358662,27.229176,27.229176,37.079166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,27.229176,365.17694,0.0
25,0,3,28.407528,30.15001,30.15001,38.625,3.4028235E38,3.4028235E38,2.9208333,0.0,0.0,0.0,30.15001,322.8248,0.0
26,0,3,34.48462,31.52501,31.52501,40.0,3.4028235E38,3.4028235E38,1.375,0.0,0.0,0.0,31.52501,302.8873,0.0
27,0,3,148.92897,31.52501,31.52501,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,31.52501,302.8873,0.0
28,0,3,32.515213,28.804174,28.804174,40.0,3.4028235E38,3.4028235E38,0.0,2.720834,0.0,0.0,31.52501,302.8873,0.0
29,0,3,33.727013,28.804174,28.804174,46.048145,445.4035,3.4028235E38,0.0,0.0,0.0,0.0,28.804174,342.33942,0.0
30,0,3,177.71904,20.0,24.616697,20.0,3.4028235E38,3.4028235E38,3.9375,11.587503,0.0,4.616684,31.587503,491.84967,0.0
31,0,3,69.88636,20.0,20.0,28.595833,211.69519,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,3,80.32552,20.0,20.41388,20.0,3.4028235E38,3.4028235E38,1.4041667,1.3006966,0.0,0.4138794,21.300697,261.1399,0.0
33,0,3,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
