Seg,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
21,0,3,22.06358,20.921879,20.921879,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921879,456.63275
22,0,3,8.155506,20.921879,20.921879,40,3.40E+38,3.40E+38,0,0,0,0,20.921879,456.63275
23,0,3,20.999,19.788546,19.788546,40,3.40E+38,3.40E+38,0,1.1333334,0,0,20.921879,456.63275
24,0,3,16.447618,19.788546,19.788546,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.788546,473.0661
25,0,3,20.740091,22.601254,22.601254,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.601254,432.28183
26,0,3,25.373825,23.832712,23.832712,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832712,414.4257
27,0,3,104.60238,23.832712,23.832712,40,3.40E+38,3.40E+38,0,0,0,0,23.832712,414.4257
28,0,3,24.257708,21.557713,21.557713,40,3.40E+38,3.40E+38,0,2.2750003,0,0,23.832712,414.4257
29,0,3,24.112268,21.557714,21.557714,46.214584,3.40E+38,3.40E+38,0,0,0,1.91E-06,21.557714,447.41315
30,0,3,104.99766,15.643129,15.643129,20,3.40E+38,3.40E+38,3.7854166,9.700003,0,0,25.343132,582.52454
31,0,3,45.064095,15.643129,15.643129,28.64875,3.40E+38,3.40E+38,0,0,0,0,15.643129,153.17464
32,0,3,60.950737,15.852713,15.852713,20,3.40E+38,3.40E+38,1.3512499,1.1416669,0,0,16.994379,323.58148
33,0,3,5.996317,15.852713,15.852713,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,15.852713,150.13567
0,0,4,37.08874,14.279166,14.279166,30,3.40E+38,3.40E+38,0,0,0,0,14.279166,362.9521
1,0,4,14.839179,13.995832,13.995832,30,3.40E+38,3.40E+38,0,0.28333333,0,0,14.279166,362.9521
2,0,4,14.702055,12.570832,12.570832,30,3.40E+38,3.40E+38,0,1.425,0,9.54E-07,13.995832,367.06042
3,0,4,6.9792624,12.570832,12.570832,28.420834,3.40E+38,3.40E+38,0,0,0,9.54E-07,12.570832,387.7229
